policy,sample,rmse,hotspot_recall,top_risk_precision,redundancy_rate
greedy_oracle,13,1.7993102606717692,1.0,0.5583333333333333,0.0
greedy_oracle,14,1.7788047060262897,1.0,0.5666666666666667,0.0
greedy_oracle,15,1.7126440128336557,1.0,0.55,0.0
greedy_oracle,16,1.6992360619340718,1.0,0.5666666666666667,0.0
greedy_oracle,17,1.6254844354161861,1.0,0.5833333333333333,0.0
greedy_oracle,18,1.5963111605424296,1.0,0.5833333333333333,0.0
greedy_oracle,19,1.5264152313871082,1.0,0.575,0.0
greedy_oracle,20,1.519748187346077,1.0,0.5916666666666666,0.0
greedy_oracle,21,1.4334098982349748,1.0,0.6083333333333333,0.0
greedy_oracle,22,1.4475764657741967,1.0,0.6083333333333333,0.0
greedy_oracle,23,1.423893926627724,1.0,0.625,0.0
greedy_oracle,24,1.4351475253021753,1.0,0.6166666666666666,0.0
greedy_oracle,25,1.3987344043760104,1.0,0.6499999999999999,0.0
greedy_oracle,26,1.360823228728567,1.0,0.6499999999999999,0.0
greedy_oracle,27,1.3131611015839426,1.0,0.6583333333333333,0.0
greedy_oracle,28,1.0976727718804486,1.0,0.6666666666666666,0.0
greedy_oracle,29,1.0874611552809559,1.0,0.675,0.0
greedy_oracle,30,1.0849630148451848,1.0,0.675,0.0
greedy_oracle,31,1.0550675441386255,1.0,0.6666666666666666,0.0
greedy_oracle,32,1.0073860114244162,1.0,0.675,0.0
greedy_oracle,33,0.9943348476948539,1.0,0.6833333333333333,0.0
greedy_oracle,34,0.9812491758917229,1.0,0.6833333333333333,0.0
greedy_oracle,35,0.9682034652472433,1.0,0.6833333333333333,0.0
greedy_oracle,36,0.9635787163712148,1.0,0.6833333333333333,0.0
greedy_oracle,37,0.9404282096972182,1.0,0.7083333333333333,0.0
greedy_oracle,38,0.9058957956907635,1.0,0.7083333333333333,0.0
greedy_oracle,39,0.900943385018808,1.0,0.7083333333333333,0.0
greedy_oracle,40,0.8937940785355913,1.0,0.7083333333333333,0.0
